Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;
83377;16/09/1964;0000;;26.9;;
83377;16/09/1964;1200;0;;14.6;
83377;17/09/1964;0000;;28;;
83377;17/09/1964;1200;0;;16;
83377;18/09/1964;0000;;28.9;;
83377;18/09/1964;1200;0;;15.7;
83377;19/09/1964;0000;;28.4;;
83377;19/09/1964;1200;0;;15.6;
83377;20/09/1964;0000;;28.7;;
83377;20/09/1964;1200;0;;16.3;
83377;21/09/1964;0000;;27.5;;
83377;21/09/1964;1200;0;;15.7;
83377;22/09/1964;0000;;28.7;;
83377;22/09/1964;1200;0;;15.2;
83377;23/09/1964;0000;;27.7;;
83377;23/09/1964;1200;0;;15.4;
83377;24/09/1964;0000;;28.8;;
83377;24/09/1964;1200;0;;17.7;
83377;25/09/1964;0000;;28.2;;
83377;25/09/1964;1200;0;;16.7;
83377;26/09/1964;0000;;28.6;;
83377;26/09/1964;1200;19.2;;16.4;
83377;27/09/1964;0000;;24;;
83377;27/09/1964;1200;0;;16.2;
83377;28/09/1964;0000;;25.8;;
83377;28/09/1964;1200;0.2;;17.2;
83377;29/09/1964;0000;;27.5;;
83377;29/09/1964;1200;7.6;;16.8;
83377;30/09/1964;0000;;28.9;;
83377;30/09/1964;1200;5;;17.7;
83377;01/10/1964;0000;;23;;
83377;01/10/1964;1200;0;;17.6;
83377;02/10/1964;0000;;28.8;;
83377;02/10/1964;1200;0;;16.8;
83377;03/10/1964;0000;;29.2;;
83377;03/10/1964;1200;0;;16.8;
83377;04/10/1964;0000;;27.6;;
83377;04/10/1964;1200;1.2;;18.1;
83377;05/10/1964;0000;;22.8;;
83377;05/10/1964;1200;12.1;;16.2;
83377;06/10/1964;0000;;25.4;;
83377;06/10/1964;1200;0.1;;17.1;
83377;07/10/1964;0000;;24.4;;
83377;07/10/1964;1200;12;;16.3;
83377;08/10/1964;0000;;24.9;;
83377;08/10/1964;1200;21.6;;15.1;
83377;09/10/1964;0000;;25.5;;
83377;09/10/1964;1200;5.2;;17.2;
83377;10/10/1964;0000;;24.9;;
83377;10/10/1964;1200;1;;17.8;
83377;11/10/1964;0000;;27;;
83377;11/10/1964;1200;11.5;;14.8;
83377;12/10/1964;0000;;26;;
83377;12/10/1964;1200;0.4;;17;
83377;13/10/1964;0000;;25.9;;
83377;13/10/1964;1200;24.5;;15.1;
83377;14/10/1964;0000;;24.2;;
83377;14/10/1964;1200;4.2;;14.8;
83377;15/10/1964;0000;;23.9;;
83377;15/10/1964;1200;0;;13.5;
83377;16/10/1964;0000;;25.8;;
83377;16/10/1964;1200;20.9;;13.7;
83377;17/10/1964;0000;;27.5;;
83377;17/10/1964;1200;0;;15.2;
83377;18/10/1964;0000;;27.9;;
83377;18/10/1964;1200;1.2;;15.4;
83377;19/10/1964;0000;;27.3;;
83377;19/10/1964;1200;1.4;;16.8;
83377;20/10/1964;0000;;23.3;;
83377;20/10/1964;1200;0;;16.6;
83377;21/10/1964;0000;;26.4;;
83377;21/10/1964;1200;0.3;;17;
83377;22/10/1964;0000;;25.1;;
83377;22/10/1964;1200;0.4;;17.2;
83377;23/10/1964;0000;;26.7;;
83377;23/10/1964;1200;14.2;;17.6;
83377;24/10/1964;0000;;23.8;;
83377;24/10/1964;1200;23.1;;17.7;
83377;25/10/1964;0000;;27.9;;
83377;25/10/1964;1200;3;;16.7;
83377;26/10/1964;0000;;28.8;;
83377;26/10/1964;1200;1.3;;16.6;
83377;27/10/1964;0000;;24.9;;
83377;27/10/1964;1200;8;;15.7;
83377;28/10/1964;0000;;25.7;;
83377;28/10/1964;1200;0.6;;17.2;
83377;29/10/1964;0000;;24.5;;
83377;29/10/1964;1200;0.4;;17.4;
83377;30/10/1964;0000;;26.2;;
83377;30/10/1964;1200;0.2;;16.4;
83377;31/10/1964;0000;;26.6;;
83377;31/10/1964;1200;20.7;;16.4;
83377;01/11/1964;0000;;27;;
83377;01/11/1964;1200;0.1;;18;
83377;02/11/1964;0000;;24.8;;
83377;02/11/1964;1200;2.6;;16.4;
83377;03/11/1964;0000;;24.5;;
83377;03/11/1964;1200;8.6;;16.3;
83377;04/11/1964;0000;;22.3;;
83377;04/11/1964;1200;24;;16.3;
83377;05/11/1964;0000;;25.9;;
83377;05/11/1964;1200;1.2;;16.4;
83377;06/11/1964;0000;;25;;
83377;06/11/1964;1200;11.6;;16.7;
83377;07/11/1964;0000;;23.5;;
83377;07/11/1964;1200;8.4;;17.5;
83377;08/11/1964;0000;;25.6;;
83377;08/11/1964;1200;3;;16.6;
83377;09/11/1964;0000;;26.5;;
83377;09/11/1964;1200;4.6;;16.6;
83377;10/11/1964;0000;;27.4;;
83377;10/11/1964;1200;17;;16.4;
83377;11/11/1964;0000;;27.7;;
83377;11/11/1964;1200;4.8;;18.1;
83377;12/11/1964;0000;;25.7;;
83377;12/11/1964;1200;0;;15.2;
83377;13/11/1964;0000;;27.6;;
83377;13/11/1964;1200;0;;16.1;
83377;14/11/1964;0000;;24.8;;
83377;14/11/1964;1200;1.5;;16;
83377;15/11/1964;0000;;25.8;;
83377;15/11/1964;1200;76.5;;15;
83377;16/11/1964;0000;;25;;
83377;16/11/1964;1200;2;;17.2;
83377;17/11/1964;0000;;26.6;;
83377;17/11/1964;1200;12.9;;17.5;
83377;18/11/1964;0000;;26.3;;
83377;18/11/1964;1200;0;;17.6;
83377;19/11/1964;0000;;26.2;;
83377;19/11/1964;1200;6;;18.4;
83377;20/11/1964;0000;;22.3;;
83377;20/11/1964;1200;1.2;;18.1;
83377;21/11/1964;0000;;22;;
83377;21/11/1964;1200;29.2;;16.8;
83377;22/11/1964;0000;;24.3;;
83377;22/11/1964;1200;0;;15.4;
83377;23/11/1964;0000;;25.6;;
83377;23/11/1964;1200;8;;17.4;
83377;24/11/1964;0000;;24.8;;
83377;24/11/1964;1200;12.6;;17.4;
83377;25/11/1964;0000;;22.6;;
83377;25/11/1964;1200;0.1;;17.8;
83377;26/11/1964;0000;;23.4;;
83377;26/11/1964;1200;3.8;;16;
83377;27/11/1964;0000;;21.8;;
83377;27/11/1964;1200;23.1;;16.4;
83377;28/11/1964;0000;;21;;
83377;28/11/1964;1200;0.6;;16.2;
83377;29/11/1964;0000;;23.7;;
83377;29/11/1964;1200;14.6;;16;
83377;30/11/1964;0000;;26.4;;
83377;30/11/1964;1200;1.3;;17.2;
83377;01/12/1964;0000;;27.2;;
83377;01/12/1964;1200;0;;17.3;
